Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
336844,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,318,Flatlands And Canarsie (Cd18),2015-01-01,16.61,Winter,NO2,74.3950893245319,Modéré,0
172708,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,305307,Upper East Side-Gramercy,2011-12-01,33.15,Winter,NO2,121.90475365481,Mauvais,1
667605,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,203,Morrisania And Crotona (Cd3),2020-06-01,13.96,Summer,NO2,44.11715859647902,Bon,0
741254,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,402,Woodside And Sunnyside (Cd2),2021-06-01,16.98,Summer,NO2,72.95175581834035,Modéré,0
743641,386,Ozone (O3),Mean,ppb,Cd,109,Morningside Heights And Hamilton Heights (Cd9),2021-06-01,28.61,Summer,O3,0.10217765651834723,Très mauvais,1
216623,386,Ozone (O3),Mean,ppb,Cd,502,South Beach And Willowbrook (Cd2),2012-06-01,33.7,Summer,O3,0.13554997909817654,Dangereux,1
550027,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,201,Mott Haven And Melrose (Cd1),2017-06-01,16.98,Summer,NO2,64.73666353542976,Modéré,0
176079,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,405,Ridgewood - Forest Hills,2013-06-01,16.92,Summer,NO2,65.62683887550574,Modéré,0
412440,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,105,Crotona -Tremont,2016-06-01,16.73,Summer,NO2,79.88797851677923,Modéré,0
175884,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,106,High Bridge - Morrisania,2009-06-01,26.46,Summer,NO2,88.52562642405599,Modéré,0
740977,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,401,Long Island City - Astoria,2020-12-01,23.07,Winter,NO2,79.99105518184464,Modéré,0
650986,386,Ozone (O3),Mean,ppb,Uhf34,405,Ridgewood - Forest Hills,2019-06-01,31.3,Summer,O3,0.10655130755467053,Dangereux,1
337803,383,Sulfur Dioxide (So2),Mean,ppb,Uhf34,209,Bensonhurst - Bay Ridge,2014-12-01,0.43,Winter,SO2,1.8544678576909412,Bon,0
165967,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,410,South Ozone Park And Howard Beach (Cd10),2011-12-01,23.04,Winter,NO2,69.5695801541978,Modéré,0
176670,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,408,Jamaica,2011-12-01,19.35,Winter,NO2,84.47025904640172,Modéré,0
